No,Test Condition,Test Execution,Expected result,Test Result (Pass/Fail),Defect # (if any),Remarks
Accessing LEO Page - Register with FantasyBank@Work,,,,,,
1,"Register with FantasyBank@Work

","1. Log out of account if previously registered 
2. Brought to Login/Activate page
3. Click ""Login/Activate"" 
4. Select ""For FantasyBank@Work user only, Sign up here"" option 
5. Enter the reference number provided by bank staff 
6. Confirm to proceed with activation 

",Brought to NRIC verification page ,,,
NRIC verification page,,,,,,
2,NRIC verification page ,"1. Log out of account if previously registered 
2. Brought to Login/Activate page
3. Click ""Login/Activate"" 
4. Select ""For FantasyBank@Work user only, Sign up here"" option 
5. Enter the reference number provided by bank staff 
6. Confirm to proceed with activation 

","1. Customer is required to capture their NRIC for verification purposes
Start Camera Button displayed ",,,
3,Start Using Camera and Capture NRIC,"1. NRIC verification page 
2. Click ""Start Using""
3. Capture NRIC","1. Camera opens after clicking ""Start Using""
2. After capturing NRIC, confirmation popup is displayed ",,,
4,NRIC Capture confirmation - No,"1. NRIC verification page 
2. Click ""Start Using""
3. Capture NRIC
4. Click ""No"" on confirmation ","1. Camera opens after clicking ""No"" on confirmation to recapture NRIC
2. After capturing NRIC, confirmation popup is displayed ",,,
5,NRIC Capture confirmation - Yes,"1. NRIC verification page 
2. Click ""Start Using""
3. Capture NRIC
4. Click ""Yes"" on confirmation ","Brought to Country of Birth Selection - 
1. Ensure drop down list of countries are displayed 
",,,
6,Cannot procceed without country of birth confirmation ,"1. NRIC verification page 
2. Click ""Start Using""
3. Capture NRIC
4. Click ""Yes"" on confirmation
 ",On Country of Birth Selection - Confirmation Button is greyed out and user is unable to procceed without first selecting a country of birth from the drop down list,,,
7,Proceed with country of birth confirmation ,"1. NRIC verification page 
2. Click ""Start Using""
3. Capture NRIC
4. Click ""Yes"" on confirmation
5. Select country of birth from drop down list 
6. Click Confirm 
 ","Confirm button is turned active and turns blue after selecting a country from the drop down list 
- The user then procceeds to the Personal Information and Necessary Declaration page",,,
Personal Information Page,,,,,,
8,Personal Information Screen,"1. NRIC verification page 
2. Click ""Start Using""
3. Capture NRIC
4. Click ""Yes"" on confirmation
5. Select country of birth from drop down list 
6. Click Confirm 
 ","1. Customer able to confirm their personal information and check on the declaration 


Personal Information is Auto Populated correctly",,,
9,Personal Information - Declarations ,"1. Personal Information
2. Scroll to 'Declarations'","Declaration List: 
1. U.S Citizen Declaration
2. Terms & Conditions
3. PIDM Deposit Insurance System (DIS) e-Brochure
4. PDPA",,,
10,Personal Information - Declarations not checked ,"1. Personal Information
2. Scroll to 'Declarations'
2. Leave Declarations Unchecked",On Personal Information - Confirmation Button is greyed out and user is unable to procceed without first checking all the declarations on the page,,,
